Compound,Title,Year,Source,Annotation
Flüchtlings-Konzept,Flüchtlings-Konzept gibt es schon seit April,2014,BILD,0
Wachleute,Insider berichtet in BILD über Asylheim-Skandal: Wachleute stahlen sogar das Essen der Flüchtlinge,2014,BILD,0
Wachleute,In Flüchtlingsheim in NRW : Wachleute sollen Asylbewerber misshandelt haben,2014,BILD,0
Wachleute,Wachleute misshandeln Flüchtlinge : Sie quälen ihr Opfer und grinsen in die Kamera,2014,BILD,0
Wachleute,Folter-Skandal in deutschen Asylbewerberheimen: „Die Wachleute schlagen und treten uns“,2014,BILD,0
Flüchtlingsorganisation,Flüchtlingsorganisation gegen Asyl-Verschärfungen,2014,BILD,0
Asyl-Verschärfungen,Flüchtlingsorganisation gegen Asyl-Verschärfungen,2014,BILD,0
Bauarbeiten,Bei Bauarbeiten in Feuerbach sind Arbeiter auf eine Fliegerbombe gestoßen. Sie wurde erfolgreich entschärft.,2014,BILD,0
Fliegerbombe,Bei Bauarbeiten in Feuerbach sind Arbeiter auf eine Fliegerbombe gestoßen. Sie wurde erfolgreich entschärft.,2014,BILD,0
Asylheim,Trotz Polit-Prügel Kudla verteidigt „Nein“ zu neuem Asylheim,2014,BILD,0
Asylheim,Für 200 Flüchtlinge: 1. Asylheim in der City geplant,2014,BILD,0
Asylheim,Nach Streit zwischen Stadt und Vermieter Doch kein Asylheim in der Johannisgasse,2014,BILD,0
Asylheim,"Elektrohändler André Dähn (35) aus Leipzig-Schönefeld: Ich muss raus, weil hier ein Asylheim reinkommt",2014,BILD,0
Asylheim,Neues Asylheim wird an der Leipziger Liebermann-Straße gebaut,2014,BILD,0
Asylheim,Flüchtlinge campen bei 5 Grad vor Asylheim,2014,BILD,0
Asylheim,Bezirk Eimsbüttel: Neues Asylheim für 350 Flüchtlinge,2014,BILD,0
Asylheim,Platz für 60 Flüchtlinge: Neues Asylheim in Engelsdorf geplant,2014,BILD,0
Asylheim,Bischofwerda: Zwei Schwerverletze nach Schlägerei in Asylheim,2014,BILD,0
Asylheim,Neues Asylheim in Gohlis?,2014,BILD,0
Asylheim,1. Anwohner klagt gegen Asylheim – und gewinnt!,2014,BILD,0
Asylheim,Erster Blick ins neue Asylheim in Chemnitz,2014,BILD,0
Hartz-Empfänger,Hartz IV Die bittere Bilanz! Die meisten Hartz-Empfänger leben in Berlin,2014,BILD,0
Flüchtlingsfamilie,Einer Flüchtlingsfamilie im Revier: Wir sind in Sicherheit – aber einsam,2014,BILD,0
Hilfs-Transport,Hilfs-Transport für Syrien: Student fährt mit 40-Tonner in die Kriegs-Hölle,2014,BILD,0
40-Tonner,Hilfs-Transport für Syrien: Student fährt mit 40-Tonner in die Kriegs-Hölle,2014,BILD,0
Kriegs-Hölle,Hilfs-Transport für Syrien: Student fährt mit 40-Tonner in die Kriegs-Hölle,2014,BILD,0
Flüchtlingsheim,Heftige Randale bei Demo gegen Flüchtlingsheim,2014,BILD,0
Flüchtlingsheim,Mann stirbt bei Feuer in Hürther Flüchtlingsheim,2014,BILD,0
Flüchtlingsheim,Allach: Kardinal Marx besucht Flüchtlingsheim,2014,BILD,0
Flüchtlingsheim,In Flüchtlingsheim in NRW : Wachleute sollen Asylbewerber misshandelt haben,2014,BILD,0
Flüchtlingsheim,Massenschlägerei in einem Flüchtlingsheim in Tempelhof,2014,BILD,0
Flüchtlingsheim,Bothfeld: Erste Klage gegen Flüchtlingsheim aus Angst vor Anschlägen,2014,BILD,0
Flüchtlingsheim,Heinz Buschkowsky: Berlin versenkt mit diesem Flüchtlingsheim Millionen,2014,BILD,0
Flüchtlingsheim,Hilferuf aus Flüchtlingsheim in Neuss,2014,BILD,0
Bundesamt,Bundesamt sieht EU-weite Quotenregelung für Flüchtlinge kritisch,2014,BILD,0
Quotenregelung,Bundesamt sieht EU-weite Quotenregelung für Flüchtlinge kritisch,2014,BILD,0
Alex-Flüchtlinge,Alex-Flüchtlinge flüchten in die Gedächtniskirche,2014,BILD,0
Gedächtniskirche,Alex-Flüchtlinge flüchten in die Gedächtniskirche,2014,BILD,0
