list,item,cond,sentence,has_question_1,question_1,has_question_2,question_2
1,L_K1,k,<b>Der große Flüchtlingsirrtum</b>: <br> Das Arbeitsmarktwunder für Flüchtlinge ist ausgeblieben.<br> Denn das Gros der Neuankömmlinge bestand leider nicht <br> aus syrischen Ärzten und Ingenieuren. ,y,Wie spricht der Autor über den Irrtum?,y,Suggeriert der Text etwas über die Verantwortlichen?
1,L_P2,p,Die Grünen haben in der Bundestagssitzung <br> den Ausbau der Infrastruktur und den Datenschutz vorgeschlagen. <br> <b>Die gegnerische Partei CDU</b> hat sie blockiert.,y,Wie spricht der Autor über die CDU?,y,Suggeriert der Text etwas über die CDU?
1,L_N3,n,<b>Mauer</b> spaltet München: <br> Die Stadt muss nach Anwohnerklagen eine Steinwand gegen Lärm errichten. <br> Sie soll die Münchner vor Lärm aus dem Flüchtlingswohnheim beschützen.,y,Wie spricht der Autor über die Mauer?,y,Suggeriert der Text etwas über die Mauer?
1,L_K4,k,"Neue Stelle für <b>Kopftuch-Praktikantin</b>: <br> Elisabeth Herzog-von der Heide (SPD) aus Luckenwalde hatte eine Praktikantin (48) <br> am ersten Tag gefeuert, weil die Asylbewerberin ihr Kopftuch nicht abnehmen wollte. <br> Nun hospitiert die Palästinenserin bei der städtischen Wohnungsbaugesellschaft.",y,Wie spricht der Autor über die Praktikantin?,y,Suggeriert der Text etwas über die Praktikantin?
1,L_P5,p,"In Europa explodieren die Corona-Zahlen. <br> Und wie sieht es <b>in China</b>, der Heimat von Corona, aus? <br> Lange schien es so, als hätte das Land das Virus im Griff. <br> Positiv getestete Personen hatten sich vorwiegend im Ausland angesteckt. <br> Dieser Trend ändert sich jetzt.",y,Wie spricht der Autor über China?,y,Suggeriert der Text etwas über China?
1,L_N6,n,<b>Hacker</b> spionierten Coronaforschung aus: <br> Das US-Justizministerium wirft zwei chinesischen Hackern den Diebstahl von <br> Geschäftsgeheimnissen und geistigem Eigentum im Wert von <br> hunderten Millionen Dollar vor. <br> Auch Unternehmen in der Coronaforschung waren Ziel des Angriffs.,y,Wie spricht der Autor über die Hacker?,y,Suggeriert der Text etwas über die Hacker?
1,L_K7,k,<b>Klima-Greta</b> geht wieder zur Schule: <br> Sie ist die berühmteste Schulschwänzerin der Welt. <br> Doch im August beginnt für sie die gymnasiale Oberstufe – <br> und da will sie wieder die Schulbank drücken wie die anderen Gleichaltrigen auch.,y,Wie spricht der Autor über Greta Thunberg?,y,Suggeriert der Text etwas über Greta Thunberg?
1,L_P8,p,"So sieht Social Distancing bei <b>Kim Jong-Un</b> in Nordkorea aus: <br> Offiziell gibt es in Nordkorea keinen einzigen Coronafall – <br> trotzdem wurden in dem Land Quarantänemaßnahmen beschlossen. <br> Auch Diktator Kim Jong-Un praktiziert öffentlich Social Distancing, <br> allerdings scheint dabei nur er selbst schützenswert zu sein.",y,Wie spricht der Autor über Kim Jong-Un?,y,Suggeriert der Text etwas über Kim Jong-Un?
1,L_N9,n,"Ramelow spricht beim Blick auf die Partei von <br> „Schrammen in der Seele, die nicht vergehen.“ <br> Es sind die Schrammen der Stasi-Spitzelei und <b>der SED</b>. <br> Aus seiner Sicht ist es so falsch, die Vergangenheit zu verschweigen, <br> wie ewig darauf herumzuhacken, ohne die Aufarbeitung zu würdigen.",y,Wie spricht der Autor über die Partei SED?,y,Suggeriert der Text etwas über die SED?
1,L_K10,k,"Das ist auch Kommunikationskultur: <br> alle darüber debattieren lassen, ob sie sich angemessen porträtiert fühlen. <br> Der Essener Kommissar und nebenberufliche Frikadellenpopularisierer <b>Hans Haferkamp</b>, <br> gespielt von Hansjörg Felmy, ermittelte in Suddenrath, einem Vorort von Düsseldorf. <br> Dort geht er Verbrechen auf den Grund.",y,Wie spricht der Autor über Hans Haferkamp?,y,Suggeriert der Text etwas über Hans Haferkamp?
1,L_P11,p,"<b>Der Flüchtling</b>, der Randale angezettelt hat, soll zurück in das Land, <br> aus dem er zu uns gekommen ist. <br> Sein Anwalt wehrt sich jetzt.",y,Wie spricht der Autor über den Flüchtling?,y,Suggeriert der Text etwas über den Flüchtling?
1,L_N12,n,"Die <b>Denkfehler</b> der Regierung: <br> Der Lockdown wird verlängert, verlängert und verlängert. <br> Schuld daran ist nicht nur die Corona-Pandemie, sondern auch die Strategie der Politik.",y,Wie spricht der Autor über den Denkfehler?,y,Suggeriert der Text etwas über den Denkfehler?
1,L_K13,k,"In Städten und Landkreisen mit einer 7-Tages-Inzidenz von <br> über 200 Neuinfektionen pro 100 000 Einwohnern soll der Bewegungsradius der Menschen <br> auf 15 Kilometer um den Wohnort beschränkt werden, „sofern kein triftiger Grund vorliegt“, <br> wie es im Beschluss heißt. <br> <b>Jetzt legt uns die Regierung an die Corona-Leine.</b>",y,Wie spricht der Autor über den Beschluss der Regierung?,y,Suggeriert der Text etwas über den Beschluss der Regierung?
1,L_P14,p,Der Bund hat mehr als 108 Millionen Masken für deutsche Kliniken und Arztpraxen <br> in China gekauft. Jedoch sind etwa 10 Prozent <b>dieser chinesischen Masken</b> <br> für medizinische Zwecke ungeeignet.,y,Wie spricht der Autor über die Masken?,y,Suggeriert der Text etwas über die Masken?
1,L_N15,n,"Alaa M., der in 2011 als Arzt im Gefängnis des Militärischen Geheimdienstes <br> in der Stadt Homs (Syrien) arbeitete, soll mindestens zweimal <br> einen Häftling gefoltert haben. Die Bundesanwaltschaft wirft ihm <br> Verbrechen gegen die Menschlichkeit und gefährliche Körperverletzung vor. <br> <b>Am 19. Juni 2020 nahm das BKA ihn in Hessen fest.</b>",y,Wie spricht der Autor über Alaa M.?,y,Suggeriert der Text etwas über Alaa M.?
1,L_K16,k,"<b>Thailand-Rentner</b> fordert Sozialhilfe für Adoptivkind: <br> Ein Thailand-Auswanderer aus Bremen forderte vom Sozialamt Hilfe, <br> weil er von seiner Rente das Kind, das seine thailändische Frau <br> von ihrer Tochter aufgenommen und adoptiert hatte, nicht mehr versorgen kann. <br> Das Sozialamt weigerte sich, dem Senior Unterstützung zu leisten.",y,Wie spricht der Autor über den Rentner?,y,Suggeriert der Text etwas über den Rentner?
1,L_P17,p,"Asylanten und Flüchtlinge wollen Österreich meiden <br> und lieber <b>in das von Merkel regierte Land</b> einreisen, <br> denn hier dürfen Familien nachgeholt werden.",y,Wie spricht der Autor über Deutschland?,y,Suggeriert der Text etwas über Deutschlands Asylpolitik?
