id,item,item_num_only,conditions,response_1,response_2,read_time
611e288a12792,P10,P10,a,1,True,[13161]
611e288a12792,L_K6,6,k,6,True,[9351]
611e288a12792,P11,P11,a,2,False,[24273]
611e288a12792,L_P4,4,p,5,True,[10705]
611e288a12792,L_P10,10,p,4,True,[11061]
611e288a12792,P9,P9,a,1,False,[17272]
611e288a12792,P6,P6,a,7,True,[23467]
611e288a12792,P15,P15,a,6,True,[12549]
611e288a12792,P22,P22,a,1,False,[10444]
611e288a12792,L_N5,5,n,3,True,[4268]
611e288a12792,P16,P16,a,7,False,[15603]
611e288a12792,L_K3,3,k,4,False,[6050]
611e288a12792,P5,P5,a,1,False,[5676]
611e288a12792,L_N8,8,n,6,True,[5846]
611e288a12792,P7,P7,a,4,True,[14384]
611e288a12792,L_P16,16,p,3,True,[11907]
611e288a12792,P20,P20,a,2,False,[19621]
611e288a12792,L_P7,7,p,5,True,[9838]
611e288a12792,P12,P12,a,7,True,[14026]
611e288a12792,P19,P19,a,6,False,[22026]
611e288a12792,L_K21,21,k,7,True,[14446]
611e288a12792,L_P19,19,p,6,True,[5096]
611e288a12792,P4,P4,a,3,True,[10402]
611e288a12792,P13,P13,a,2,False,[15035]
611e288a12792,L_N20,20,n,7,True,[10781]
611e288a12792,L_K12,12,k,6,True,[5069]
611e288a12792,L_N2,2,n,5,True,[7205]
611e288a12792,P1,P1,a,1,False,[17184]
611e288a12792,P18,P18,a,7,False,[13180]
611e288a12792,P14,P14,a,3,False,[13362]
611e288a12792,P3,P3,a,1,False,[13749]
611e288a12792,L_N14,14,n,6,True,[6476]
611e288a12792,P21,P21,a,2,False,[20987]
611e288a12792,L_K9,9,k,4,True,[15234]
611e288a12792,L_P1,1,p,6,True,[9905]
611e288a12792,P2,P2,a,6,False,[18318]
611e288a12792,L_N11,11,n,4,False,[5120]
611e288a12792,L_P13,13,p,7,True,[12905]
611e288a12792,P23,P23,a,6,False,[16671]
611e288a12792,P24,P24,a,7,False,[12645]
611e288a12792,P17,P17,a,1,True,[12056]
611e288a12792,L_K18,18,k,7,True,[11032]
611e288a12792,L_N17,17,n,2,True,[2079]
611e288a12792,P8,P8,a,1,False,[13492]
611e288a12792,L_K15,15,k,7,True,[25414]
611e289d09098,L_K7,7,k,6,True,[5935]
611e289d09098,L_N6,6,n,4,False,[6246]
611e289d09098,L_N12,12,n,6,True,[4904]
611e289d09098,P15,P15,a,4,False,[8560]
611e289d09098,P3,P3,a,2,False,[8254]
611e289d09098,P7,P7,a,6,False,[9420]
611e289d09098,L_N3,3,n,5,False,[5363]
611e289d09098,P19,P19,a,6,True,[6812]
611e289d09098,L_K1,1,k,6,True,[5245]
611e289d09098,L_K19,19,k,5,True,[4607]
611e289d09098,L_K16,16,k,4,False,[10958]
611e289d09098,P13,P13,a,3,False,[7240]
611e289d09098,P12,P12,a,6,True,[8446]
611e289d09098,P22,P22,a,2,False,[6336]
611e289d09098,P20,P20,a,4,True,[10751]
611e289d09098,P14,P14,a,4,False,[8234]
611e289d09098,P6,P6,a,6,True,[8905]
611e289d09098,P17,P17,a,2,False,[4974]
611e289d09098,P5,P5,a,6,True,[5689]
611e289d09098,P10,P10,a,2,True,[6787]
611e289d09098,L_P17,17,p,4,True,[4995]
611e289d09098,L_P20,20,p,6,True,[8042]
611e289d09098,L_N21,21,n,5,True,[4917]
611e289d09098,P2,P2,a,6,True,[7257]
611e289d09098,L_K4,4,k,6,True,[4476]
611e289d09098,P24,P24,a,6,False,[6245]
611e289d09098,P16,P16,a,7,True,[9140]
611e289d09098,P18,P18,a,6,True,[9973]
611e289d09098,L_K10,10,k,4,True,[5477]
611e289d09098,P8,P8,a,2,True,[5323]
611e289d09098,L_N9,9,n,6,True,[4744]
611e289d09098,L_P2,2,p,5,True,[2660]
611e289d09098,L_P14,14,p,5,False,[3248]
611e289d09098,P23,P23,a,7,False,[11206]
611e289d09098,P21,P21,a,1,False,[5064]
611e289d09098,L_P11,11,p,6,True,[2011]
